ID	TokenizedText	datetime	sentiment	pre-processed-tweet	pos_cnt	neg_cnt	retweet_cnt
3612	5 ways to find happiness this is all that really matters $fb $twtr	2017-01-02T19:20:19.000Z	1	5 ways find happiness really matters fb twtr	1	0	4
3671	2017 bulls have dow theory on their side $dia $djia $spy	2017-01-02T19:10:01.000Z	1	2017 bulls dow theory side dia djia spy	0	0	0
3693	5 trade ideas for tuesday : $dft $endp $srcl $ul $lstr - dragonfly capital $spy	2017-01-02T19:05:43.000Z	1	5 trade ideas tuesday endp ul dragonfly capital spy	0	0	0
3753	after 14 quarters of losses , @teslamotors turned a profit . can it continue that in 2017 ? $tsla	2017-01-02T19:00:04.000Z	1	14 quarters losses teslamotors turned profit continue 2017 tsla	1	1	4
4066	. @cnbcfastmoney traders share their 2017 stock picks $aapl $googl $ma $uup	2017-01-02T22:08:01.000Z	1	cnbcfastmoney traders share 2017 stock picks aapl googl uup	0	0	0
4114	50 inspirational quotes to get you studying harder you need this push ! $fb $twtr	2017-01-02T22:00:52.000Z	1	50 inspirational quotes get studying harder need push fb twtr	1	0	7
4176	$bwld how to turn a risky stock into a huge winner	2017-01-02T21:49:07.000Z	1	bwld turn risky stock huge winner	1	1	0
4263	@fredwilson have n't said this in a while , but $aapl prob has a hit with airpods , i own 2 pair . sadly , wo n't move needle on $215b rev base .	2017-01-02T21:38:55.000Z	-1	havent said aapl prob hit airpods 2 pair wont move needle rev base	0	0	0
4307	all seems fair by @fredwilson on $aapl 's 2016 $aapl gained $60bn in mkt cap in 1st yoy eps	2017-01-02T21:32:35.000Z	1	seems fair aapls 2016 aapl gained mkt cap 1st yoy eps	1	0	2
4388	hooked up $nflx for tonight , and this was the first suggested movie . looks like a must watch for anyone who tweets .	2017-01-02T21:16:32.000Z	1	up nflx tonight first movie looks like must watch anyone tweets	0	0	1
4479	comparing real vs questionable traders learn to spot the differences , it matters big time $fb $twtr	2017-01-02T21:01:09.000Z	1	real vs questionable traders learn spot matters big time fb twtr	0	1	2
4583	rt @ophirgottlieb : twitter china head kathy chen leaves company - $twtr	2017-01-02T23:40:35.000Z	-1	rt ophirgottlieb twitter china head kathy chen leaves company twtr	0	0	2
4670	rt @timothysykes : how to make $2,000 per day as this is the magic number that creates my millionaire students $fb $	2017-01-02T23:27:02.000Z	1	rt timothysykes make 2000 per day magic number creates millionaire students fb	0	0	10
4685	trump tweets and dow futures still up about 70 points in the early going . $djia	2017-01-02T23:24:35.000Z	1	trump tweets dow futures still up 70 points early going djia	0	0	0
4728	twitter china head kathy chen leaves company - $twtr	2017-01-02T23:14:12.000Z	-1	twitter china head kathy chen leaves company twtr	0	0	2
4866	tesla the top pick for 2017 : baird $tsla	2017-01-02T22:45:01.000Z	1	tesla top pick 2017 baird tsla	0	0	0
4967	airpods , pokemon and 10 of the most notable tech stories of the year $aapl $fb $twtr	2017-01-02T22:25:02.000Z	1	airpods 10 notable tech stories year aapl fb twtr	0	0	0
5084	. @nomura puts 'buy ' on starbucks ; names it `` top restaurant stock '' for '17 . sees sentiment perking up for $sbux after '16 drop . #starbucks	2017-01-03T08:24:16.000Z	1	nomura puts buy starbucks names top restaurant stock 17 sees sentiment perking up sbux 16 drop starbucks	1	1	0
5500	was the macbook pro the best laptop released in 2016 ? $aapl	2017-01-03T10:52:02.000Z	1	macbook pro best released 2016 aapl	1	0	1
5662	crn 's top laptops of 2016 featured an hp machine with the industry 's `` only integrated pc privacy screen . ''	2017-01-03T10:12:01.000Z	1	top laptops 2016 hp machine industrys integrated pc privacy screen	0	0	1
5666	$spx futures snapping back 14 to re-test the broken pennant- 2255ish is resistance . can bears reject price there . or do we get constructive	2017-01-03T10:10:27.000Z	-1	spx futures back 14 retest broken pennant resistance bears price get constructive	1	2	1
5674	good morning . green arrows to start 2017 as some new flows come in . asia higher , europe a positive tone . $spx futs up 14	2017-01-03T10:09:08.000Z	1	good morning green arrows start 2017 new flows come asia higher europe positive tone spx futs up 14	2	0	4
5685	reiterating our bullish call on both the nasdaq $qqq and oil & amp ; gas stocks $xop	2017-01-03T10:07:23.000Z	1	bullish call nasdaq qqq oil amp gas stocks xop	0	0	2
6025	rt @ritholtz : today in 1977 : apple computer corp. is incorporated by steve jobs and steve wozniak $aapl	2017-01-03T12:14:09.000Z	-1	rt today apple computer corp steve jobs steve aapl	0	0	48
6072	$nq nasdaq-100 failed breakout ( or washout ) , followed by bounce to new resistance . $qqq	2017-01-03T12:09:02.000Z	-1	nasdaq100 failed breakout followed bounce new resistance qqq	0	2	1
6216	two of 2016 's dow laggards surging this morning : $nke & amp ; $dis	2017-01-03T11:42:01.000Z	1	two dow laggards surging morning nke amp dis	0	0	5
6558	@adamfeuerstein we raised prices for 2017 all single digits & amp ; net increase '17 vs '16 expected to be ~2-3 % post discounts/rebates $agn 1of2	2017-01-03T13:02:47.000Z	1	adamfeuerstein raised prices 2017 single digits amp net increase 17 vs 16 expected 23 post agn	0	0	14
6596	a peek into the markets : u.s. stock futures surge on first trading day of 2017 $spy $uso $clvs $grpn $itek $sm $srlp	2017-01-03T13:00:03.000Z	1	peek markets us stock futures surge first trading day 2017 spy uso clvs grpn	0	0	0
6747	watch these 5 huge put purchases in tuesday trade $ctxs $rad $resi $teck $twtr	2017-01-03T12:45:02.000Z	1	watch 5 huge put purchases tuesday trade ctxs rad twtr	0	0	3
6824	the bear cases for 6 wall street 's darlings $amat $amzn $fcx $nvda $nem $mu	2017-01-03T12:37:01.000Z	1	bear cases 6 wall streets amat amzn fcx nvda nem mu	0	0	0
7011	rt @russellrhoads : . @dougkass on bloomberg radio saying trump may make volatility great again ! @business $vix $rvx $spx $rut #musictomyears	2017-01-03T13:49:38.000Z	1	rt russellrhoads dougkass bloomberg radio saying trump may make volatility great business vix spx rut	0	1	6
7258	here 's today 's free morning call express . levels & amp ; thoughts as we see if today 's strength holds and builds $spx	2017-01-03T13:30:48.000Z	-1	heres todays free morning call express levels amp thoughts see todays strength holds builds spx	1	0	3
7530	will a new breakfast sandwich be what mcdonald 's needs ? $mcd	2017-01-03T14:20:07.000Z	1	new breakfast mcdonalds needs mcd	0	0	1
7606	#restaurants playbook & amp ; food trends this year ! #newyear $mcd $cke $cmg $yum	2017-01-03T14:13:39.000Z	1	restaurants playbook amp food trends year mcd cmg yum	0	0	1
7872	7 things younger than @apple 's #iphone as the device prepares to turn 10 years old $aapl $amzn $fb $nflx $tsla	2017-01-03T14:00:01.000Z	-1	7 things younger apples iphone device prepares turn 10 years old aapl amzn fb nflx tsla	0	0	1
7949	$tsla +1 % pre market ahead of delivery #s	2017-01-03T13:55:28.000Z	1	tsla 1 pre market ahead delivery	0	0	2
8000	$gm up over 1 % after #trump $twtr comments . remember how the media was pissed about him `` moving '' $utx and $lmt ? .	2017-01-03T14:49:50.000Z	1	gm up 1 trump twtr comments remember media pissed moving utx lmt	0	0	0
8014	i think you are moving $agn -- a must read ... .	2017-01-03T14:49:25.000Z	1	think moving must read	0	0	2
8089	big bank stocks starting off 2017 with a bang . $bac , $gs , $wfc all up over 1 % after receiving upgrades from barclay	2017-01-03T14:45:36.000Z	1	big bank stocks starting 2017 bang bac gs wfc up 1 upgrades	0	0	1
8242	the $djia is surging triple digits in morning trading . here 's what 's fueling its rise :	2017-01-03T14:38:01.000Z	1	djia surging triple digits morning trading heres whats rise	1	0	0
8244	$spx stocks on pace to rise 15,000 % for 2017	2017-01-03T14:37:53.000Z	1	spx stocks pace rise 2017	1	0	14
8246	it 's a bird.. it 's a plane ... it 's the.. $spx !	2017-01-03T14:37:46.000Z	1	bird spx	0	0	1
8375	the market in 5 minutes : oil pushes markets higher to kick off the new year $spy $uso $gm $cah $depo $xrx $grpn $dsw	2017-01-03T14:30:02.000Z	1	market 5 minutes oil pushes markets higher kick new year spy uso gm xrx grpn dsw	0	0	0
8395	#stockalert stocks to watch today on #wallstreet $gm $tsla	2017-01-03T14:28:32.000Z	1	stockalert stocks watch today wallstreet gm tsla	0	0	6
8648	$googl reclaimed $803 pivot - $nflx also above $126.50 pivot .	2017-01-03T15:06:43.000Z	1	googl reclaimed pivot nflx also above pivot	0	0	1
8663	$tsla nice rdr for a long entry at the $211.68 pivot	2017-01-03T15:05:56.000Z	1	tsla nice rdr long entry pivot	1	0	0
8664	need $spx & gt ; 2258 to ramp the probability of new all-time closing highs . bears off-side to start 2017 .	2017-01-03T15:05:56.000Z	1	need spx gt ramp new alltime closing highs bears start 2017	1	1	0
8706	financials : $jpm $ms $gs $c $wfc	2017-01-03T15:04:09.000Z	-1	financials jpm ms gs c wfc	0	0	5
8729	tech stocks $aapl $nflx $amzn $googl $msft	2017-01-03T15:03:23.000Z	1	tech stocks aapl nflx amzn googl msft	0	0	4
8820	with the potential to see over 50,000 units , the starbucks growth miracle may continue virtually forever :	2017-01-03T14:59:08.000Z	1	potential see 50000 units starbucks growth may continue forever	0	0	6
8932	a sampling of @citronresearch 's most influential tweets $amba $esrx $fb $nvda $vrx $tsla $mnk $mbly $gpro	2017-01-03T14:53:02.000Z	1	tweets esrx fb nvda vrx tsla mnk mbly gpro	1	0	0
9151	rbc 's top 10 internet surprises for 2017 $amzn $baba $ebay $fb $nflx $googl $twtr $ebay	2017-01-03T15:30:01.000Z	1	rbcs top 10 internet surprises 2017 amzn baba ebay fb nflx googl twtr ebay	0	0	0
9213	$aapl making apple beautiful , again ( option traders )	2017-01-03T15:26:29.000Z	1	aapl making apple beautiful option traders	1	0	1
9419	rt @bwilliliou : can @brentlsaunders shed allergan 's specialty pharma label for good ? @maxnisen @bfly $agn	2017-01-03T15:16:47.000Z	-1	rt bwilliliou brentlsaunders allergans pharma good maxnisen bfly agn	1	0	1
9448	the interest rate trend is ( finally ) bank of america 's friend , bringing $3 billion in potential profit this yr .	2017-01-03T15:15:52.000Z	1	interest rate trend finally bank americas friend bringing 3 billion potential profit yr	1	0	0
9472	$spx market breadth 3:1 positive . the longer it stays that way , the more likely it becomes that we 'll close on the highs today .	2017-01-03T15:15:04.000Z	1	spx market breadth 31 positive longer stays way likely becomes well close highs today	2	0	2
9498	$amzn rang the bell for #robotics in 2014. last quarter , #amazon go rang the bell for #fintech !	2017-01-03T15:13:29.000Z	1	amzn rang bell 2014 last quarter amazon go rang bell fintech	0	0	6
9522	drifting lower for the last 20 minutes ... .russell 2000 , 2017 leader , getting close to unch ! $iwm $spy	2017-01-03T16:00:39.000Z	-1	drifting lower last 20 2000 2017 leader getting close iwm spy	0	1	2
9783	apple could build iphones in india by end of 2017 $aapl	2017-01-03T15:47:58.000Z	1	apple could build iphones india end 2017 aapl	0	0	21
9905	big u.s. #oil companies likely in strong position as #trump tackles tax reform #shale #wti #oott $xom $cop $bp	2017-01-03T15:41:18.000Z	1	big us oil companies likely strong position trump tax reform shale wti oott xom cop bp	1	0	9
9982	why trump 's hopes of 4 % economic growth may come up short : by @lanceroberts $spy $spx $qqq	2017-01-03T15:37:08.000Z	-1	trumps hopes 4 economic growth may come up short lanceroberts spy spx qqq	0	1	7
9986	december gaming win figures : vegas vs. macau $byd $czr $lvs $wynn $mgm $mpel	2017-01-03T15:37:01.000Z	1	december gaming win figures vegas vs macau byd czr lvs wynn mgm mpel	1	0	0
10072	rt @bigcrunchbot : $djia , now at 19829.53 , could get to 20k if : $ge rose $24.85 , a market cap increase of $219.0 billion #dow20k	2017-01-03T16:20:36.000Z	1	rt djia could get 20k ge rose market cap increase billion dow20k	0	0	3
10192	no , higher productivity is n't what drives a company 's stock price : $spx $djia	2017-01-03T16:15:48.000Z	-1	no higher isnt drives companys stock price spx djia	0	0	0
10218	had to have conviction for these $gld $gdx sweepers today .	2017-01-03T16:14:22.000Z	1	conviction gld gdx sweepers today	0	1	7
10277	quick $spy chart - another lower high in a bigger new descending channel . not much `` new info ''	2017-01-03T16:11:03.000Z	-1	quick spy chart another lower high bigger new descending channel not much new info	0	1	4
10410	intel $intc to take 15 pct stake in mapping firm here - source ( via @reutersbiz )	2017-01-03T16:05:07.000Z	1	intel intc take 15 pct stake mapping firm source via reutersbiz	0	0	0
10531	apple , amazon , activision are piper 's top picks ; facebook knocked - $aapl $amzn $atvi $fb	2017-01-03T16:44:30.000Z	1	apple amazon activision top picks facebook aapl amzn atvi fb	0	0	1
10568	@robseamans @valaafshar @jonerlichman thanks for sharing the $amzn numbers , prof. seamans !	2017-01-03T16:43:13.000Z	1	valaafshar jonerlichman thanks sharing amzn numbers	0	0	0
10577	nike named top pick at jefferies , twitter 's asia boss resigns , apparel stocks downgraded - $nke	2017-01-03T16:42:53.000Z	1	nike named top pick jefferies twitters asia boss apparel stocks downgraded nke	0	2	0
10844	carter & amp ; @michael_khouw think health care could make a comeback this year $xlv $celg	2017-01-03T16:30:17.000Z	1	carter amp michaelkhouw think health care could make comeback year xlv celg	0	0	2
10973	rt @thestreet : a mcdonald 's opened last week outside of vatican city to the disdain of senior cardinals : $mcd	2017-01-03T16:25:46.000Z	-1	rt thestreet mcdonalds opened last week outside city senior mcd	0	0	14
11036	the nasdaq-100 index $ndx a story of past , present , & amp ; future #performance . $ndx outperformed $spx 23 % from 2011-201	2017-01-03T17:08:02.000Z	1	nasdaq100 index ndx story past present amp future performance ndx outperformed spx 23	1	0	2
11045	rt @alex : uber has now raised more money than twitter is worth lololololol $twtr : $11.57b ( google finance ) $uber : $11- $15b ( source dependi	2017-01-03T17:07:49.000Z	1	rt alex uber raised money twitter worth twtr google finance uber source	0	0	14
11052	rt @optionsaction : @riskreversal offers a stock replacement trade in $aapl	2017-01-03T17:07:22.000Z	1	rt optionsaction ‘riskreversal offers stock replacement trade aapl	0	0	9
11059	ebay is a rare value internet stock with growth potential $ebay	2017-01-03T17:07:01.000Z	1	ebay rare value internet stock growth potential ebay	0	0	0
11091	rt @optionsaction : carter & amp ; @michael_khouw think health care could make a comeback this year $xlv $celg	2017-01-03T17:05:23.000Z	1	rt optionsaction carter amp michaelkhouw think health care could make comeback year xlv celg	0	0	2
11153	we got my new video on brokers full transcribed now , enjoy it $fb $twtr	2017-01-03T17:01:22.000Z	1	got new video brokers full enjoy fb twtr	1	0	4
11171	drug companies seek to avoid public outcry , raises prices by just under 10 percent $agn	2017-01-03T17:00:21.000Z	-1	drug companies seek avoid public raises prices 10 percent agn	0	1	4
11397	$yelp how a clever use of covered calls turned into a big win	2017-01-03T16:49:50.000Z	1	yelp clever use covered calls turned big win	1	0	1
11490	and ... more of that $gld $gdx $jnug $gc	2017-01-03T16:45:39.000Z	1	gld gdx jnug gc	0	0	0
11500	survey says santa may have delivered a solid q4 to netflix $nflx	2017-01-03T17:37:01.000Z	1	survey says may delivered solid q4 netflix nflx	0	0	0
11524	rt @sai : apple could build iphones in india by end of 2017 $aapl	2017-01-03T17:35:58.000Z	1	rt sai apple could build iphones india end 2017 aapl	0	0	21
11666	we should have taken our own advice about $amd and $nvda via @barronstechblog	2017-01-03T17:27:02.000Z	-1	taken advice amd nvda via barronstechblog	0	0	8
11853	4 restaurant stocks that will satisfy investor appetites in 2017 : $habt $pnra $rave $sbux	2017-01-03T17:17:04.000Z	1	4 restaurant stocks investor 2017 pnra sbux	1	0	5
12004	without a step function improvement , truly viable bots might be years off . #bots $fb $amzn	2017-01-03T18:01:36.000Z	-1	without step improvement truly bots might years bots fb amzn	1	0	0
12097	a reminder how tricky commodity investing can be : natural gas was up big in 2016 , but $ung etf rose just 7 % and 3x	2017-01-03T17:57:01.000Z	-1	reminder tricky commodity investing natural gas up big 2016 ung etf rose 7 3x	0	0	0
12199	$gs got rejected at $245 and could n't hold $242 and went red . some clues for lack of commitment	2017-01-03T17:50:33.000Z	-1	gs got rejected 245 couldnt hold went red lack commitment	0	2	1
12214	lots of sectors failed to hold friday 's highs and then went red as well . like $iwm as example	2017-01-03T17:49:59.000Z	-1	lots sectors failed hold fridays highs went red well like iwm example	1	1	3
12248	mcdonald 's brings a southern flare to its breakfast menu : $mcd	2017-01-03T17:48:05.000Z	1	mcdonalds brings southern breakfast menu mcd	0	0	3
12388	big movers of the new year : $vz $nke $nflx $dix	2017-01-03T17:43:15.000Z	1	big movers new year vz nke nflx dix	0	0	5
12644	3 reasons victor anthony sees facebook as a buy $fb	2017-01-03T18:22:01.000Z	1	3 reasons victor anthony sees facebook buy fb	1	0	0
12864	prediction : amazon will launch self-driving truck effort in 2017 . $amzn	2017-01-03T18:08:38.000Z	1	prediction amazon launch selfdriving truck effort 2017 amzn	0	0	2
12942	retail forecast : u.s. consumers will spend $632 billion online by 2020 $amzn $baba	2017-01-03T18:04:52.000Z	1	retail forecast us consumers spend billion online 2020 amzn baba	0	0	0
13176	nvidia was one of the best-performing large cap stocks in 2016. but this is how it 's starting 2017 : $nvda	2017-01-03T18:49:04.000Z	-1	nvidia one bestperforming large cap stocks 2016 starting 2017 nvda	0	0	9
13270	5 of the most ambitious tech projects in the pipeline $amzn $goog	2017-01-03T18:45:02.000Z	1	5 ambitious tech pipeline amzn goog	0	0	0
13307	money sloshing around $jnug $wft $gdx $fit and a little $uso on this mixed bag day .	2017-01-03T18:44:01.000Z	-1	money around jnug wft gdx fit little uso mixed bag day	0	0	0
13518	rt @timothysykes : we got my new video on brokers full transcribed now , enjoy it $fb $twtr	2017-01-03T19:31:56.000Z	1	rt timothysykes got new video brokers full enjoy fb twtr	1	0	4
13664	@fijitime71 they have a very bright future ! $nflx	2017-01-03T19:20:58.000Z	1	fijitime71 bright future nflx	0	0	0
13672	$dis momentum atm action , $nvda premium bid up , $tsla up 1.5 % , $sbux calls to puts @angiemiles @bubba_trading $xbi	2017-01-03T19:20:08.000Z	1	dis momentum atm action nvda premium bid up tsla up 15 sbux calls puts angiemiles xbi	0	0	9
13743	4 reasons twitter shares should be sold $twtr $crm $dis $goog	2017-01-03T19:15:02.000Z	-1	4 reasons twitter shares sold twtr crm dis goog	0	0	3
13907	$fb at deepest monthly oversold level since ipo while holding monthly channel support you do the math . long since	2017-01-03T19:05:01.000Z	1	fb monthly oversold level since ipo holding monthly channel support math long since	1	0	1
14104	predictions for new #trump world include a bold call involving $dis , $nflx & amp ; sheryl sandberg ( cc @andrewrsorkin )	2017-01-03T20:00:04.000Z	1	predictions new trump world include bold call dis nflx amp sandberg cc	0	0	2
14118	quest gets price-target hike on safeway tie ; opportunity : $dgx $swy	2017-01-03T19:59:31.000Z	1	quest gets pricetarget hike tie opportunity	1	0	1
14120	the s & amp ; p 500 's forward p/e ratio is at its highest level in over 10 years . this chart : $spy $voo	2017-01-03T19:59:28.000Z	1	sampp 500s forward pe ratio highest level 10 years chart spy voo	1	0	33
14162	why #apple wo n't get a deal to make #iphones in india - bloomberg $aapl :	2017-01-03T19:56:22.000Z	-1	apple wont get deal make iphones india bloomberg aapl	0	0	0
14237	december jobs report and weekly initial jobless claims could be good omens for economy $spy	2017-01-03T19:52:01.000Z	1	december jobs report weekly initial jobless claims could good economy spy	1	1	0
14334	nice trade . look at the `` wake up candle '' in $agn on 12/23 . that 's what a `` day #1 '' looks like . they are good to recog	2017-01-03T19:45:37.000Z	1	nice trade look wake up candle agn thats day1 looks like good	1	0	0
14364	social media laggards ready for the january effect $twtr $p via @investopedia	2017-01-03T19:43:33.000Z	1	social media laggards ready january effect twtr p via investopedia	0	0	0
14528	that barron 's call on $aapl did n't exactly pan out	2017-01-03T20:38:24.000Z	-1	barrons call aapl didnt exactly	0	0	10
14543	starbucks to crush mcdonald 's this year ? $mcd $sbux	2017-01-03T20:37:00.000Z	1	starbucks crush mcdonalds year mcd sbux	0	1	0
14713	@imcatnoone ooooh i like this question . i wish i could subscribe to the notifications like on $fb	2017-01-03T20:25:35.000Z	1	like question wish could like fb	0	1	0
14789	what is the future of electric vehicles ? $gs on why lithium is the new gasoline :	2017-01-03T20:21:48.000Z	1	future electric vehicles gs lithium new	0	0	148
14817	$fit up 8.6 % today -- up around 10 % from 52 week/all-time lows	2017-01-03T20:20:17.000Z	1	fit up today up around 10 52 lows	0	0	0
14967	loup ventures #munster bails on #piper , launches seed stage fund - $aapl	2017-01-03T20:09:42.000Z	-1	munster piper launches stage fund aapl	0	0	1
14999	solar power is already cheaper than coal in several countries $tsla	2017-01-03T20:07:01.000Z	1	solar power already cheaper coal several countries tsla	0	0	0
15079	rt @kidkapital : biggest question re : $aapl according to @adamlashinsky , can the company regain its innovative spirit post-steve jobs ?	2017-01-03T21:03:41.000Z	-1	rt biggest question aapl according adamlashinsky company innovative jobs	2	1	3
15168	bravo guys ! #goldman $gs	2017-01-03T20:59:13.000Z	1	bravo guys goldman gs	0	0	1
15219	here 's @adamlashinsky to talk about all things @apple ! #cheddarlive $aapl	2017-01-03T20:55:20.000Z	-1	heres adamlashinsky talk things apple cheddarlive aapl	0	0	2
15504	rt @adamfeuerstein : $gild finally found someone to take charge of their oncology drugs .	2017-01-03T21:34:34.000Z	-1	rt adamfeuerstein gild finally found someone take charge oncology drugs	0	0	13
15518	$gild finally found someone to take charge of their oncology drugs .	2017-01-03T21:34:16.000Z	1	gild finally found someone take charge oncology drugs	0	0	13
15702	starbucks to top mcdonald s as restaurant king , analyst says $sbux $mcd	2017-01-03T21:23:01.000Z	1	starbucks top mcdonald’s restaurant king analyst says sbux mcd	0	0	12
15819	$tsla affirmed guidance on 10/26 . `` short term production challenges '' evidently started less than a week later .	2017-01-03T21:17:17.000Z	-1	tsla guidance short term production challenges started less week later	0	2	8
15878	just in : tesla shares down 4 percent in extended trading after company releases fourth-quarter vehicle production and deliveries $tsla	2017-01-03T21:14:40.000Z	-1	tesla shares down 4 percent extended trading company releases fourthquarter vehicle production deliveries tsla	0	0	18
15947	tesla down 3 percent right now after release of production and deliveries figures $tsla	2017-01-03T21:11:22.000Z	-1	tesla down 3 percent right release production deliveries figures tsla	0	0	1
16009	netflix beat out the tv giants to have the most popular show of 2016 , according to a research company : $nflx	2017-01-03T22:10:39.000Z	1	netflix beat tv giants popular show 2016 according research company nflx	1	0	1
16093	much better start of the year than 2016 ! we 'll take it . good day of gains led by biotech and em , believe it . nice moves in media . $dis $nflx	2017-01-03T22:05:52.000Z	1	much better start year 2016 well take good day gains led biotech em believe nice moves media dis nflx	3	0	1
16122	$vz helped power the $djia up 119 points today . stock was one of the index 's largest gainers on the day .	2017-01-03T22:03:52.000Z	1	vz helped power djia up 119 points today stock one indexs largest gainers day	0	0	1
16147	`` i 'm a liberal elite , out of touch so ive decided to see how the 'other half ' lives. `` zuck tours the nation in 201	2017-01-03T22:02:10.000Z	-1	im touch ive decided see half lives zuck	0	0	4
16166	who is the best trader in the world ? the answer may shock you so read up $fb $twtr	2017-01-03T22:00:38.000Z	1	best trader world answer may shock read up fb twtr	1	0	3
16186	you did n't really think he would make the number exactly . come on 4k cars diff . they sold 76k cars . great job	2017-01-03T21:59:07.000Z	1	didnt really think would make number exactly come 4k cars sold cars great job	0	0	1
16247	the $djia today rallied despite a sharp decline in $oil prices . check out our complete post-market analysis :	2017-01-03T21:53:29.000Z	1	djia today rallied despite sharp decline oil prices check complete postmarket analysis	1	1	0
16264	alcoa $aa said expects restructuring-related charges of us $0.66 a share in q416 off 0.97 % a/h - set to report in us jan 09 , 2017 #ausbiz	2017-01-03T21:51:16.000Z	-1	alcoa aa said expects charges share q416 ah set report us jan 09 2017 ausbiz	0	0	1
16299	rt @rodrigocampos : 2017 is a prime number ! $spx avg gain over last 5 prime years : 16 pct ; #wallstreet #stocks #markets #maths	2017-01-03T21:48:16.000Z	1	rt 2017 prime number spx avg gain last 5 prime years 16 pct wallstreet stocks markets	1	0	1
16317	2017 is a prime number ! $spx avg gain over last 5 prime years : 16 pct ; #wallstreet #stocks #markets #maths	2017-01-03T21:45:45.000Z	-1	2017 prime number spx avg gain last 5 prime years 16 pct wallstreet stocks markets	1	0	1
16339	market gains slow to 640 % pace for 2017 $spx	2017-01-03T21:44:37.000Z	1	market gains slow pace 2017 spx	1	1	0
16365	tesla $tsla down 2.3 % a/h tesla said it produced 24,882 vehicles in 4q for 2016 83,922 vehicles up 64 % missed on d	2017-01-03T21:42:55.000Z	-1	tesla tsla down 23 ah tesla said vehicles 4q 2016 vehicles up 64 missed d	0	1	3
16395	$gild - here is alessandro riva 's bio . global head of oncology development at $nvs since 2005 .	2017-01-03T21:41:09.000Z	1	gild bio global head oncology development nvs since	0	0	4
16486	rt @selerity : #breaking : tesla motors $tsla q4 vehicle deliveries , 22,200 vs. guidance of just over 25,000 .	2017-01-03T21:35:44.000Z	-1	rt selerity breaking tesla motors tsla q4 vehicle deliveries 22200 vs guidance 25000	0	1	17
